SetName,Cycle,Time_S,Temperature_°C,X_Displacement_um,Y_Displacement_um,X_Force_mN,Y_Force_mN,X_MeasuredStrain_%,Y_MeasuredStrain_%
Precon1,1-Preload,0,23.7,0,0,-12,12,-1.73472E-16,1.38778E-15
Precon1,1-Preload,0.1,23.7,20,0,10,1,-3.67333E-05,-0.013027341
Precon1,1-Preload,0.2,23.7,40,0,10,4,0.079078236,-0.035008969
Precon1,1-Preload,0.3,23.7,60,0,9,0,0.145580494,-0.074697232
Precon1,1-Preload,0.4,23.7,80,0,14,1,0.222092988,-0.104097629
Precon1,1-Preload,0.5,23.7,100,0,8,2,0.275686375,-0.132544716
Precon1,1-Preload,0.6,23.7,120,0,9,0,0.369875674,-0.155115912
Precon1,1-Preload,0.7,23.7,140,0,8,2,0.413490458,-0.189251778
Precon1,1-Preload,0.8,23.7,160,0,13,3,0.489724888,-0.228288486
Precon1,1-Preload,0.9,23.7,180,0,10,0,0.544968465,-0.273270802
Precon1,1-Preload,1,23.7,200,0,10,2,0.619607498,-0.298487943
Precon1,1-Preload,1.1,23.7,220,0,7,1,0.671443316,-0.333207972
Precon1,1-Preload,1.2,23.7,240,0,11,5,0.752751009,-0.404262607
Precon1,1-Preload,1.3,23.7,260,0,14,0,0.783449549,-0.459605303
Precon1,1-Preload,1.4,23.7,280,0,14,4,0.848706763,-0.505897173
Precon1,1-Preload,1.5,23.7,300,0,8,2,0.899339177,-0.561231423
Precon1,1-Preload,1.6,23.7,320,0,13,4,0.96228311,-0.597974507
Precon1,1-Preload,1.7,23.7,340,0,13,2,1.006899269,-0.659665737
Precon1,1-Preload,1.8,23.7,360,0,15,4,1.061527272,-0.750613626
Precon1,1-Preload,1.9,23.7,380,0,9,2,1.117241222,-0.747693413
Precon1,1-Preload,2,23.7,400,0,13,1,1.185763373,-0.77194949
Precon1,1-Preload,2.1,23.7,420,0,19,2,1.222692901,-0.90064503
Precon1,1-Preload,2.2,23.7,440,0,18,5,1.276091543,-0.903013474
Precon1,1-Preload,2.3,23.7,460,0,18,-1,1.340709779,-1.029032198
Precon1,1-Preload,2.4,23.7,480,0,16,5,1.395574481,-1.033821536
Precon1,1-Preload,2.5,23.7,500,0,21,3,1.425832413,-1.159926938
Precon1,1-Preload,2.6,23.7,520,0,20,4,1.517168906,-1.218578013
Precon1,1-Preload,2.7,23.7,540,0,25,0,1.569106737,-1.305473951
Precon1,1-Preload,2.8,23.7,560,0,17,6,1.616255372,-1.378420305
Precon1,1-Preload,2.9,23.7,580,0,25,0,1.608239827,-1.393613051
Precon1,1-Preload,3,23.7,600,0,21,2,1.680195167,-1.571329513
Precon1,1-Preload,3.1,23.7,620,0,25,-1,1.842306485,-1.606982319
Precon1,1-Preload,3.2,23.7,640,0,23,4,1.913605974,-1.689815102
Precon1,1-Preload,3.3,23.7,660,0,25,0,1.967434672,-1.68725585
Precon1,1-Preload,3.4,23.7,680,0,27,2,2.004857809,-1.837723422
Precon1,1-Preload,3.5,23.7,700,0,31,1,2.003834927,-1.872312467
Precon1,1-Preload,3.6,23.7,720,0,27,4,2.135030356,-1.90750427
Precon1,1-Preload,3.7,23.7,740,0,28,2,2.109023774,-2.005165014
Precon1,1-Preload,3.8,23.7,760,0,31,1,2.162399171,-1.995857646
Precon1,1-Preload,3.9,23.7,780,0,33,1,2.237155367,-2.088063266
Precon1,1-Preload,4,23.7,800,0,31,1,2.29781067,-2.057120051
Precon1,1-Preload,4.1,23.7,820,0,40,0,2.313338349,-2.201420106
Precon1,1-Preload,4.2,23.7,840,0,37,2,2.405913578,-2.127951354
Precon1,1-Preload,4.3,23.7,860,0,45,-1,2.369508138,-2.290120493
Precon1,1-Preload,4.4,23.7,880,0,38,2,2.646675874,-2.240989152
Precon1,1-Preload,4.5,23.7,900,0,44,2,2.734637558,-2.27253895
Precon1,1-Preload,4.6,23.7,920,0,40,0,2.722460342,-2.311497203
Precon1,1-Preload,4.7,23.7,940,0,46,-1,2.788789163,-2.327183906
Precon1,1-Preload,4.8,23.7,960,0,41,3,2.930291189,-2.481102193
Precon1,1-Preload,4.9,23.7,980,0,46,-1,2.892411768,-2.478190789
Precon1,1-Preload,5,23.7,1000,0,43,2,2.896366332,-2.588961596
Precon1,1-Preload,5.1,23.7,1020,0,51,-2,3.057089409,-2.520595457
Precon1,1-Preload,5.2,23.7,1040,0,48,2,2.99758213,-2.483604004
Precon1,1-Preload,5.3,23.7,1060,0,51,2,3.093543128,-2.522951933
Precon1,1-Preload,5.4,23.7,1080,0,54,-2,3.113371969,-2.613401422
Precon1,1-Preload,5.5,23.7,1100,0,54,0,3.226711549,-2.582811589
Precon1,1-Preload,5.6,23.7,1120,0,50,2,3.230561224,-2.584423661
Precon1,1-Preload,5.7,23.7,1140,0,58,1,3.31052402,-2.699026828
Precon1,1-Preload,5.8,23.7,1160,0,52,2,3.351281721,-2.626898701
Precon1,1-Preload,5.9,23.7,1180,0,65,-1,3.366355831,-2.737071591
Precon1,1-Preload,6,23.7,1200,0,56,1,3.497727029,-2.839896358
Precon1,1-Preload,6.1,23.7,1220,0,63,0,3.501059075,-2.815977095
Precon1,1-Preload,6.2,23.7,1240,0,61,0,3.481647328,-2.896221387
Precon1,1-Preload,6.3,23.7,1260,0,65,0,3.651839308,-2.872862327
Precon1,1-Preload,6.4,23.7,1280,0,64,-1,3.606631411,-2.872354674
Precon1,1-Preload,6.5,23.7,1300,0,68,4,3.702390837,-2.814266194
Precon1,1-Preload,6.6,23.7,1320,0,65,1,3.686359217,-2.732045617
Precon1,1-Preload,6.7,23.7,1340,0,72,0,3.731315958,-2.838268922
Precon1,1-Preload,6.8,23.7,1360,0,67,2,3.760966231,-2.915347372
Precon1,1-Preload,6.9,23.7,1380,0,70,0,3.789746508,-2.860558372
Precon1,1-Preload,7,23.7,1400,0,70,2,3.954380747,-2.975625024
Precon1,1-Preload,7.1,23.7,1420,0,77,-1,3.949415168,-2.960905942
Precon1,1-Preload,7.2,23.7,1440,0,70,3,4.061206273,-3.072383236
Precon1,1-Preload,7.3,23.7,1460,0,78,2,4.068977059,-2.992602008
Precon1,1-Preload,7.4,23.7,1480,0,78,2,4.129241794,-3.061794262
Precon1,1-Preload,7.5,23.7,1500,0,79,1,4.133759683,-3.098650272
Precon1,1-Preload,7.6,23.7,1520,0,77,3,4.155894257,-3.000702618
Precon1,1-Preload,7.7,23.7,1540,0,86,2,4.311689226,-3.057168377
Precon1,1-Preload,7.8,23.7,1560,0,77,0,4.245549759,-3.106652653
Precon1,1-Preload,7.9,23.7,1580,0,86,2,4.476114592,-3.236666032
Precon1,1-Preload,8,23.7,1600,0,80,4,4.434369987,-3.082810057
Precon1,1-Preload,8.1,23.7,1620,0,84,1,4.490790631,-3.111567035
Precon1,1-Preload,8.2,23.7,1640,0,84,-1,4.547676727,-3.193079276
Precon1,1-Preload,8.3,23.7,1660,0,89,3,4.559268369,-3.226915519
Precon1,1-Preload,8.4,23.7,1680,0,84,5,4.521965703,-3.138043874
Precon1,1-Preload,8.5,23.7,1700,0,94,1,4.686562665,-3.18471421
Precon1,1-Preload,8.6,23.7,1720,0,91,4,4.739209248,-3.273638303
Precon1,1-Preload,8.7,23.7,1740,0,95,3,4.725858515,-3.222226851
Precon1,1-Preload,8.8,23.6,1760,0,89,4,4.818392458,-3.194659927
Precon1,1-Preload,8.9,23.6,1780,0,95,4,4.893524769,-3.295132123
Precon1,1-Preload,9,23.6,1800,0,94,-1,4.9439396,-3.365274795
Precon1,1-Preload,9.1,23.6,1820,0,101,4,5.045973378,-3.237918796
Precon1,1-Preload,9.2,23.6,1840,0,96,3,5.078097115,-3.376691553
Precon1,1-Preload,9.3,23.6,1860,0,104,3,5.11812824,-3.485423564
Precon1,1-Preload,9.4,23.6,1880,0,100,3,5.194457707,-3.414789667
Precon1,1-Preload,9.5,23.6,1900,0,105,-2,5.202593409,-3.429288339
Precon1,1-Preload,9.6,23.6,1920,0,100,6,5.318520337,-3.356902418
Precon1,1-Preload,9.7,23.6,1940,0,105,2,5.30599232,-3.496255352
Precon1,1-Preload,9.8,23.6,1960,0,103,2,5.404077114,-3.531679385
Precon1,1-Preload,9.9,23.6,1980,0,108,1,5.435129967,-3.471688214
Precon1,1-Preload,10,23.6,2000,0,105,2,5.473333298,-3.528053454
Precon1,1-Preload,10.1,23.6,2020,0,111,5,5.42651323,-3.509487394
Precon1,1-Preload,10.2,23.6,2040,0,108,4,5.568956374,-3.601060499
Precon1,1-Preload,10.3,23.6,2060,0,114,2,5.655207068,-3.610494527
Precon1,1-Preload,10.4,23.6,2080,0,111,0,5.660755593,-3.570262239
Precon1,1-Preload,10.5,23.6,2100,0,116,1,5.663666845,-3.57577382
Precon1,1-Preload,10.6,23.6,2120,0,112,4,5.664239892,-3.677020147
Precon1,1-Preload,10.7,23.6,2140,0,118,0,5.728146196,-3.62141546
Precon1,1-Preload,10.8,23.6,2160,0,117,3,5.927633533,-3.66295679
Precon1,1-Preload,10.9,23.6,2180,0,120,2,6.054213836,-3.771851604
Precon1,1-Preload,11,23.6,2200,0,120,3,6.040405328,-3.778544845
Precon1,1-Preload,11.1,23.6,2220,0,123,-1,6.055612091,-3.861574106
Precon1,1-Preload,11.2,23.6,2240,0,119,3,6.160821432,-3.625600004
Precon1,1-Preload,11.3,23.6,2260,0,123,3,6.203882722,-3.779127008
Precon1,1-Preload,11.4,23.6,2280,0,123,3,6.28469023,-3.816498341
Precon1,1-Preload,11.5,23.6,2300,0,127,3,6.332669668,-3.854703417
Precon1,1-Preload,11.6,23.6,2320,0,124,5,6.351486119,-3.758503133
Precon1,1-Preload,11.7,23.6,2340,0,131,1,6.432896675,-3.824721234
Precon1,1-Preload,11.8,23.6,2360,0,129,2,6.487105768,-3.920330192
Precon1,1-Preload,11.9,23.6,2380,0,134,0,6.369325361,-3.844638933
Precon1,1-Preload,12,23.6,2400,0,128,5,6.524909424,-3.894960077
Precon1,1-Preload,12.1,23.6,2420,0,135,1,6.667719161,-3.862694166
Precon1,1-Preload,12.2,23.6,2440,0,133,1,6.671092714,-3.887495613
Precon1,1-Preload,12.3,23.6,2460,0,138,3,6.754690795,-3.956451201
Precon1,1-Preload,12.4,23.6,2480,0,129,3,6.737608042,-3.803504016
Precon1,1-Preload,12.5,23.6,2500,0,136,4,6.91847321,-3.756679
Precon1,1-Preload,12.6,23.6,2520,0,137,0,6.945292191,-3.755650108
Precon1,1-Preload,12.7,23.6,2540,0,138,1,6.974734243,-3.718114708
Precon1,1-Preload,12.8,23.6,2560,0,136,4,7.0092979,-3.863083657
Precon1,1-Preload,12.9,23.6,2580,0,142,4,7.151422821,-3.846105921
Precon1,1-Preload,13,23.6,2600,0,143,1,7.109431732,-3.796090522
Precon1,1-Preload,13.1,23.6,2620,0,147,-1,7.168827293,-3.890337096
Precon1,1-Preload,13.2,23.6,2640,0,148,3,7.329064673,-3.812572241
Precon1,1-Preload,13.3,23.6,2660,0,147,-2,7.450095933,-3.755373353
Precon1,1-Preload,13.4,23.6,2680,0,142,1,7.374802103,-3.947340746
Precon1,1-Preload,13.5,23.6,2700,0,142,4,7.457292318,-3.954366275
