SetName,Cycle,Time_S,Temperature_°C,X_Displacement_um,Y_Displacement_um,X_Force_mN,Y_Force_mN,X_MeasuredStrain_%,Y_MeasuredStrain_%
Precon1,1-Stretch,0,23.8,0,0,18,7,3.29597E-15,1.04083E-15
Precon1,1-Stretch,0.1,23.8,124,0,24,0,0.116863806,-0.158881813
Precon1,1-Stretch,0.2,23.8,256,0,32,5,0.341589245,-0.454276231
Precon1,1-Stretch,0.3,23.8,389,0,41,2,0.619520944,-0.784968332
Precon1,1-Stretch,0.4,23.8,521,0,53,-2,0.85344293,-0.956455375
Precon1,1-Stretch,0.5,23.8,654,0,58,1,1.147116254,-1.104000474
Precon1,1-Stretch,0.6,23.8,786,0,70,5,1.436878244,-1.285332405
Precon1,1-Stretch,0.7,23.8,918,0,80,3,1.794548906,-1.4547198
Precon1,1-Stretch,0.8,23.8,1051,0,90,3,2.066088431,-1.537991258
Precon1,1-Stretch,0.9,23.8,1183,0,99,4,2.420682823,-1.742625713
Precon1,1-Stretch,1,23.8,1316,0,104,3,2.732910858,-1.814838807
Precon1,1-Stretch,1.1,23.8,1448,0,113,4,2.982920772,-1.976135481
Precon1,1-Stretch,1.2,23.8,1581,0,120,5,3.353926039,-2.059932691
Precon1,1-Stretch,1.3,23.8,1713,0,133,2,3.648799934,-2.138066574
Precon1,1-Stretch,1.4,23.8,1846,0,141,1,4.039273623,-2.258199532
Precon1,1-Stretch,1.5,23.8,1978,0,152,1,4.353582548,-2.318056172
Precon1,1-Stretch,1.6,23.8,2110,0,154,2,4.746797429,-2.306151655
Precon1,1-Stretch,1.7,23.8,2243,0,166,4,5.076651694,-2.340298888
Precon1,1-Stretch,1.8,23.8,2375,0,174,1,5.44451565,-2.391601686
Precon1,1-Stretch,1.9,23.8,2507,0,177,3,5.790198194,-2.473992482
Precon1,1-Stretch,2,23.8,2640,0,187,6,6.203543282,-2.577252783
Precon1,1-Stretch,2.1,23.8,2772,0,200,3,6.576981413,-2.70828548
Precon1,1-Stretch,2.2,23.8,2905,0,207,2,6.888331276,-2.854781174
Precon1,1-Stretch,2.3,23.8,3037,0,209,4,7.209958769,-2.984634146
Precon1,1-Stretch,2.4,23.8,3170,0,222,1,7.561294755,-3.006589491
Precon1,1-Stretch,2.5,23.8,3302,0,227,-1,7.820165097,-3.202913547
Precon1,1-Stretch,2.6,23.8,3434,0,234,2,8.26828016,-3.299828358
Precon1,1-Stretch,2.7,23.8,3567,0,245,1,8.605070754,-3.288486017
Precon1,1-Stretch,2.8,23.8,3699,0,251,2,8.930964025,-3.371956413
Precon1,1-Stretch,2.9,23.8,3831,0,266,3,9.285335008,-3.534537403
Precon1,1-Stretch,3,23.8,3964,0,266,4,9.739148371,-3.592798454
Precon1,1-Stretch,3.1,23.8,4096,0,276,4,9.985191433,-3.648181346
Precon1,1-Stretch,3.2,23.8,4229,0,290,0,10.47464245,-3.68132832
Precon1,1-Stretch,3.3,23.8,4361,0,297,1,10.80464183,-3.763598084
Precon1,1-Stretch,3.4,23.8,4494,0,306,3,11.19582281,-3.895837534
Precon1,1-Stretch,3.5,23.8,4626,0,315,0,11.54096895,-4.021607144
Precon1,1-Stretch,3.6,23.8,4759,0,324,-3,11.99372701,-4.060242391
Precon1,1-Stretch,3.7,23.8,4891,0,331,-2,12.31839935,-4.22149653
Precon1,1-Stretch,3.8,23.8,5023,0,344,0,12.73254294,-4.229701294
Precon1,1-Stretch,3.9,23.8,5156,0,350,0,13.01093518,-4.355777127
Precon1,1-Stretch,4,23.8,5288,0,359,2,13.42248694,-4.498483606
Precon1,1-Stretch,4.1,23.8,5421,0,368,-2,13.78944341,-4.433615293
Precon1,1-Stretch,4.2,23.8,5553,0,382,-3,14.21039219,-4.640095422
Precon1,1-Stretch,4.3,23.8,5686,0,384,-4,14.54498461,-4.680110015
Precon1,1-Stretch,4.4,23.8,5818,0,396,-5,14.92479545,-4.743976311
Precon1,1-Stretch,4.5,23.8,5950,0,408,-2,15.28110022,-4.69524914
Precon1,1-Stretch,4.6,23.8,6083,0,411,-1,15.53995983,-4.88474875
Precon1,1-Stretch,4.7,23.8,6215,0,420,3,15.91403446,-5.065870607
Precon1,1-Stretch,4.8,23.8,6347,0,433,3,16.25362485,-5.144973042
